epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
24,2020-06-10,51,BA,Água Fria,2900405,city,11,64.82027,2,1,0,0.0909,16970,False,False
24,2020-06-10,56,BA,Aiquara,2900603,city,9,202.42915,0,1,0,0.1111,4446,False,False
24,2020-06-10,77,BA,Alagoinhas,2900702,city,181,119.39629,12,3,0,0.0166,151596,False,False
24,2020-06-10,12,BA,Alcobaça,2900801,city,5,22.25189,1,0,0,0.0,22470,False,False
24,2020-06-10,49,BA,Almadina,2900900,city,3,54.90483,0,0,0,0.0,5464,False,False
24,2020-06-10,32,BA,Amargosa,2901007,city,14,37.59298,2,1,0,0.0714,37241,False,False
24,2020-06-10,56,BA,Amélia Rodrigues,2901106,city,33,131.46363,2,0,0,0.0,25102,False,False
24,2020-06-10,23,BA,América Dourada,2901155,city,0,,0,0,0,0.0,16094,False,False
24,2020-06-10,28,BA,Anagé,2901205,city,2,9.08884,0,1,0,0.5,22005,False,False
24,2020-06-10,9,BA,Andaraí,2901304,city,2,15.21723,0,0,0,0.0,13143,False,False
24,2020-06-10,2,BA,Angical,2901403,city,1,7.15461,0,0,0,0.0,13977,False,False
24,2020-06-10,32,BA,Anguera,2901502,city,21,187.1491,0,0,0,0.0,11221,False,False
24,2020-06-10,11,BA,Antas,2901601,city,2,10.36753,0,0,0,0.0,19291,False,False
24,2020-06-10,17,BA,Antônio Cardoso,2901700,city,5,42.79723,1,0,0,0.0,11683,False,False
24,2020-06-10,21,BA,Aporá,2901908,city,16,90.23744,0,1,0,0.0625,17731,False,False
24,2020-06-10,21,BA,Apuarema,2901957,city,1,13.64256,0,0,0,0.0,7330,False,False
24,2020-06-10,28,BA,Araças,2902054,city,2,16.42441,0,0,0,0.0,12177,False,False
24,2020-06-10,44,BA,Aracatu,2902005,city,7,53.29273,1,0,0,0.0,13135,False,False
24,2020-06-10,64,BA,Araci,2902104,city,41,75.39675,5,1,0,0.0244,54379,False,False
24,2020-06-10,9,BA,Aramari,2902203,city,3,26.32272,0,0,0,0.0,11397,False,False
24,2020-06-10,43,BA,Arataca,2902252,city,2,18.15047,0,0,0,0.0,11019,False,False
24,2020-06-10,14,BA,Aratuípe,2902302,city,1,11.33144,0,1,0,1.0,8825,False,False
24,2020-06-10,64,BA,Aurelino Leal,2902401,city,22,190.79004,1,0,0,0.0,11531,False,False
24,2020-06-10,16,BA,Baianópolis,2902500,city,1,7.20617,0,0,0,0.0,13877,False,False
24,2020-06-10,27,BA,Banzaê,2902658,city,12,90.7098,0,0,0,0.0,13229,False,False
24,2020-06-10,72,BA,Barra,2902708,city,7,13.06506,1,0,0,0.0,53578,False,False
24,2020-06-10,4,BA,Barra da Estiva,2902807,city,1,4.85484,1,0,0,0.0,20598,False,False
24,2020-06-10,66,BA,Barra do Choça,2902906,city,14,44.29959,0,0,0,0.0,31603,False,False
24,2020-06-10,20,BA,Barra do Mendes,2903003,city,2,14.42481,0,0,0,0.0,13865,False,False
24,2020-06-10,71,BA,Barra do Rocha,2903102,city,7,122.50613,0,0,0,0.0,5714,False,False
24,2020-06-10,81,BA,Barreiras,2903201,city,132,84.92077,6,0,0,0.0,155439,False,False
24,2020-06-10,32,BA,Barrocas,2903276,city,29,181.49956,1,0,0,0.0,15978,False,False
24,2020-06-10,53,BA,Barro Preto,2903300,city,6,107.31533,0,0,0,0.0,5591,False,False
24,2020-06-10,70,BA,Belmonte,2903409,city,30,128.60082,2,1,0,0.0333,23328,False,False
24,2020-06-10,18,BA,Biritinga,2903607,city,0,,0,0,0,0.0,15979,False,False
24,2020-06-10,6,BA,Boa Nova,2903706,city,1,7.91578,0,0,0,0.0,12633,False,False
24,2020-06-10,35,BA,Boa Vista do Tupim,2903805,city,3,16.14987,0,0,0,0.0,18576,False,False
24,2020-06-10,58,BA,Bom Jesus da Lapa,2903904,city,31,44.83138,1,0,0,0.0,69148,False,False
24,2020-06-10,17,BA,Bom Jesus da Serra,2903953,city,0,,0,0,0,0.0,9880,False,False
24,2020-06-10,6,BA,Boninal,2904001,city,1,6.95991,0,0,0,0.0,14368,False,False
24,2020-06-10,7,BA,Bonito,2904050,city,0,,0,0,0,0.0,16764,False,False
24,2020-06-10,29,BA,Boquira,2904100,city,10,46.49433,0,0,0,0.0,21508,False,False
24,2020-06-10,2,BA,Botuporã,2904209,city,0,,-1,0,0,0.0,10211,False,False
24,2020-06-10,1,BA,Brejões,2904308,city,0,,0,0,0,0.0,14295,False,False
24,2020-06-10,6,BA,Brotas de Macaúbas,2904506,city,0,,0,0,0,0.0,10231,False,False
24,2020-06-10,80,BA,Brumado,2904605,city,60,89.29236,5,1,1,0.0167,67195,False,False
24,2020-06-10,56,BA,Buerarema,2904704,city,41,223.44542,0,5,0,0.122,18349,False,False
24,2020-06-10,13,BA,Buritirama,2904753,city,11,51.95051,3,0,0,0.0,21174,False,False
24,2020-06-10,27,BA,Cabaceiras do Paraguaçu,2904852,city,3,15.95151,0,0,0,0.0,18807,False,False
24,2020-06-10,68,BA,Cachoeira,2904902,city,16,47.804,2,0,0,0.0,33470,False,False
24,2020-06-10,13,BA,Caculé,2905008,city,0,,0,0,0,0.0,23170,False,False
24,2020-06-10,24,BA,Caém,2905107,city,5,54.27114,0,0,0,0.0,9213,False,False
24,2020-06-10,46,BA,Caetanos,2905156,city,2,13.75327,0,0,0,0.0,14542,False,False
24,2020-06-10,23,BA,Caetité,2905206,city,15,29.42619,0,0,0,0.0,50975,False,False
24,2020-06-10,30,BA,Cairu,2905404,city,27,148.54754,0,1,0,0.037,18176,False,False
24,2020-06-10,47,BA,Caldeirão Grande,2905503,city,6,45.02139,0,0,0,0.0,13327,False,False
24,2020-06-10,62,BA,Camacan,2905602,city,134,418.90709,6,1,0,0.0075,31988,False,False
24,2020-06-10,83,BA,Camaçari,2905701,city,483,161.46718,54,11,0,0.0228,299132,False,False
24,2020-06-10,46,BA,Camamu,2905800,city,12,33.97893,0,0,0,0.0,35316,False,False
24,2020-06-10,49,BA,Campo Alegre de Lourdes,2905909,city,26,90.28405,0,0,0,0.0,28798,False,False
24,2020-06-10,66,BA,Campo Formoso,2906006,city,8,11.23501,3,0,0,0.0,71206,False,False
24,2020-06-10,78,BA,Canarana,2906204,city,16,61.12469,0,0,0,0.0,26176,False,False
24,2020-06-10,59,BA,Canavieiras,2906303,city,28,90.03505,0,1,0,0.0357,31099,False,False
24,2020-06-10,9,BA,Candeal,2906402,city,5,60.54735,0,0,0,0.0,8258,False,False
24,2020-06-10,72,BA,Candeias,2906501,city,314,360.60453,24,5,0,0.0159,87076,False,False
24,2020-06-10,12,BA,Candiba,2906600,city,4,27.93491,0,0,0,0.0,14319,False,False
24,2020-06-10,19,BA,Cândido Sales,2906709,city,34,134.97955,5,0,0,0.0,25189,False,False
24,2020-06-10,62,BA,Cansanção,2906808,city,19,54.54441,0,0,0,0.0,34834,False,False
24,2020-06-10,13,BA,Canudos,2906824,city,12,71.99424,0,0,0,0.0,16668,False,False
24,2020-06-10,32,BA,Capela do Alto Alegre,2906857,city,2,17.18656,0,0,0,0.0,11637,False,False
24,2020-06-10,61,BA,Capim Grosso,2906873,city,29,94.57961,0,3,0,0.1034,30662,False,False
24,2020-06-10,16,BA,Caraíbas,2906899,city,3,33.51581,0,0,0,0.0,8951,False,False
24,2020-06-10,8,BA,Caravelas,2906907,city,3,13.62645,0,0,0,0.0,22016,False,False
24,2020-06-10,24,BA,Cardeal da Silva,2907004,city,7,75.30931,0,0,0,0.0,9295,False,False
24,2020-06-10,6,BA,Carinhanha,2907103,city,1,3.44614,0,0,0,0.0,29018,False,False
24,2020-06-10,13,BA,Casa Nova,2907202,city,34,47.24256,2,0,0,0.0,71969,False,False
24,2020-06-10,54,BA,Castro Alves,2907301,city,25,95.18733,0,1,0,0.04,26264,False,False
24,2020-06-10,72,BA,Catu,2907509,city,85,155.38169,15,1,0,0.0118,54704,False,False
24,2020-06-10,12,BA,Central,2907608,city,0,,-1,0,0,0.0,17266,False,False
24,2020-06-10,6,BA,Chorrochó,2907707,city,2,17.89389,0,0,0,0.0,11177,False,False
24,2020-06-10,14,BA,Cícero Dantas,2907806,city,3,9.22651,1,0,0,0.0,32515,False,False
24,2020-06-10,18,BA,Cipó,2907905,city,2,11.56069,0,0,0,0.0,17300,False,False
24,2020-06-10,72,BA,Coaraci,2908002,city,38,223.62149,2,2,0,0.0526,16993,False,False
24,2020-06-10,23,BA,Cocos,2908101,city,6,31.95399,0,0,0,0.0,18777,False,False
24,2020-06-10,28,BA,Conceição da Feira,2908200,city,29,128.42655,4,0,0,0.0,22581,False,False
24,2020-06-10,27,BA,Conceição do Almeida,2908309,city,9,52.18299,2,0,0,0.0,17247,False,False
24,2020-06-10,64,BA,Conceição do Coité,2908408,city,60,90.07386,4,0,0,0.0,66612,False,False
24,2020-06-10,81,BA,Conceição do Jacuípe,2908507,city,20,60.32637,0,0,0,0.0,33153,False,False
24,2020-06-10,79,BA,Conde,2908606,city,11,42.5746,0,2,0,0.1818,25837,False,False
24,2020-06-10,23,BA,Condeúba,2908705,city,11,63.77921,1,0,0,0.0,17247,False,False
24,2020-06-10,54,BA,Coração de Maria,2908903,city,11,48.6618,1,0,0,0.0,22605,False,False
24,2020-06-10,1,BA,Cordeiros,2909000,city,0,,0,0,0,0.0,8614,False,False
24,2020-06-10,15,BA,Coronel João Sá,2909208,city,7,44.03901,0,0,0,0.0,15895,False,False
24,2020-06-10,9,BA,Correntina,2909307,city,7,21.78175,0,0,0,0.0,32137,False,False
24,2020-06-10,51,BA,Cravolândia,2909505,city,3,56.08525,0,0,0,0.0,5349,False,False
24,2020-06-10,16,BA,Crisópolis,2909604,city,3,14.21599,0,0,0,0.0,21103,False,False
24,2020-06-10,27,BA,Cristópolis,2909703,city,6,43.13444,0,0,0,0.0,13910,False,False
24,2020-06-10,48,BA,Cruz das Almas,2909802,city,37,58.5082,3,0,0,0.0,63239,False,False
24,2020-06-10,56,BA,Curaçá,2909901,city,44,126.80115,3,0,0,0.0,34700,False,False
24,2020-06-10,44,BA,Dário Meira,2910008,city,14,130.71895,2,0,0,0.0,10710,False,False
24,2020-06-10,73,BA,Dias d'Ávila,2910057,city,132,162.7841,9,4,0,0.0303,81089,False,False
24,2020-06-10,32,BA,Dom Basílio,2910107,city,3,24.59218,0,0,0,0.0,12199,False,False
24,2020-06-10,2,BA,Dom Macedo Costa,2910206,city,1,24.64268,1,0,0,0.0,4058,False,False
24,2020-06-10,30,BA,Encruzilhada,2910404,city,26,152.88722,4,0,0,0.0,17006,False,False
24,2020-06-10,30,BA,Entre Rios,2910503,city,33,78.98516,6,0,0,0.0,41780,False,False
24,2020-06-10,1,BA,Érico Cardoso,2900504,city,0,,0,0,0,0.0,10610,False,False
24,2020-06-10,19,BA,Esplanada,2910602,city,4,10.742,1,0,0,0.0,37237,False,False
24,2020-06-10,64,BA,Euclides da Cunha,2910701,city,10,16.50574,1,1,0,0.1,60585,False,False
24,2020-06-10,57,BA,Eunápolis,2910727,city,240,211.67754,25,2,0,0.0083,113380,False,False
24,2020-06-10,15,BA,Fátima,2910750,city,2,11.17943,0,0,0,0.0,17890,False,False
24,2020-06-10,97,BA,Feira de Santana,2910800,city,879,142.95658,40,11,2,0.0125,614872,False,False
24,2020-06-10,11,BA,Filadélfia,2910859,city,8,48.849,2,1,0,0.125,16377,False,False
24,2020-06-10,8,BA,Firmino Alves,2910909,city,1,17.8031,0,0,0,0.0,5617,False,False
24,2020-06-10,58,BA,Floresta Azul,2911006,city,13,122.3069,0,0,0,0.0,10629,False,False
24,2020-06-10,7,BA,Formosa do Rio Preto,2911105,city,7,27.35337,1,0,0,0.0,25591,False,False
24,2020-06-10,68,BA,Gandu,2911204,city,137,422.80036,41,1,0,0.0073,32403,False,False
24,2020-06-10,1,BA,Gentio do Ouro,2911303,city,0,,0,0,0,0.0,11233,False,False
24,2020-06-10,18,BA,Glória,2911402,city,5,32.84935,0,0,0,0.0,15221,False,False
24,2020-06-10,64,BA,Gongogi,2911501,city,16,224.46689,2,2,0,0.125,7128,False,False
24,2020-06-10,40,BA,Governador Mangabeira,2911600,city,7,33.78052,3,1,0,0.1429,20722,False,False
24,2020-06-10,2,BA,Guajeru,2911659,city,2,28.83091,0,0,0,0.0,6937,False,False
24,2020-06-10,54,BA,Guanambi,2911709,city,54,63.9197,1,0,0,0.0,84481,False,False
24,2020-06-10,42,BA,Guaratinga,2911808,city,5,23.98887,2,0,0,0.0,20843,False,False
24,2020-06-10,27,BA,Iaçu,2911907,city,29,119.31701,3,3,0,0.1034,24305,False,False
24,2020-06-10,50,BA,Ibicaraí,2912103,city,31,142.9296,2,0,0,0.0,21689,False,False
24,2020-06-10,7,BA,Ibicuí,2912301,city,10,61.73602,2,0,0,0.0,16198,False,False
24,2020-06-10,12,BA,Ibipeba,2912400,city,5,27.45593,0,0,0,0.0,18211,False,False
24,2020-06-10,7,BA,Ibipitanga,2912509,city,5,33.55254,0,0,0,0.0,14902,False,False
24,2020-06-10,40,BA,Ibirapitanga,2912707,city,18,77.00535,1,1,0,0.0556,23375,False,False
24,2020-06-10,19,BA,Ibirapuã,2912806,city,30,347.34283,4,1,0,0.0333,8637,False,False
24,2020-06-10,67,BA,Ibirataia,2912905,city,32,208.98642,4,2,0,0.0625,15312,False,False
24,2020-06-10,27,BA,Ibitiara,2913002,city,4,24.4813,1,1,0,0.25,16339,False,False
24,2020-06-10,66,BA,Ibotirama,2913200,city,3,11.14123,1,0,0,0.0,26927,False,False
24,2020-06-10,27,BA,Igrapiúna,2913457,city,6,45.36519,0,0,0,0.0,13226,False,False
